RPM,Nm
1000,73.7
1100,83.8
1200,92.1
1300,99.2
1400,105.3
1500,110.6
1600,115.2
1700,119.2
1800,122.9
1900,126.1
2000,129
2100,131.6
2200,134
2300,136.2
2400,138.2
2500,140.1
2600,141.8
2700,143.3
2800,144.8
2900,146.2
3000,147.4
3100,148.6
3200,149.7
3300,150.8
3400,151.8
3500,152.7
3600,153.6
3700,154.4
3800,155.2
3900,155.9
4000,156.6
4100,157.3
4200,158
4300,158.6
4400,159.1
4500,159.7
4600,160.2
4700,160.8
4800,161
4900,160.8
5000,160.5
5100,160
5200,159.3
5300,158.5
5400,157.5
5500,156.3
5600,155
5700,153.5
5800,151.8
5900,150
6000,148
6100,145
6200,140.9
6300,135.9
6400,129.9
6500,123
