RPM,Nm
1000,82.3
1100,93.5
1200,102.8
1300,110.8
1400,117.5
1500,123.4
1600,128.6
1700,133.1
1800,137.1
1900,140.7
2000,144
2100,146.9
2200,149.6
2300,152
2400,154.3
2500,156.3
2600,158.2
2700,160
2800,161.6
2900,163.1
3000,164.5
3100,165.9
3200,167.1
3300,168.3
3400,169.4
3500,170.4
3600,171.4
3700,172.3
3800,173.2
3900,174
4000,174.8
4100,175.6
4200,176.3
4300,177
4400,177.6
4500,178.3
4600,178.9
4700,179.4
4800,180
4900,180.5
5000,181
5100,181
5200,180.8
5300,180.6
5400,180.2
5500,179.8
5600,179.3
5700,178.7
5800,178
5900,177.2
6000,176.3
6100,175.3
6200,174.2
6300,173
6400,171.8
6500,170.4
6600,167.2
6700,162.7
6800,157
6900,150.3
7000,142.4
