RPM,Nm
1000,39.1
1100,47.8
1200,56
1300,63.8
1400,71.1
1500,78
1600,84.4
1700,90.4
1800,96
1900,101.1
2000,105.8
2100,110
2200,113.8
2300,117.1
2400,120
2500,122.4
2600,124.4
2700,126
2800,127.1
2900,127.8
3000,128
3100,128
3200,127.9
3300,127.8
3400,127.6
3500,127.3
3600,127.1
3700,126.7
3800,126.3
3900,125.9
4000,125.4
4100,124.8
4200,124.2
4300,123.6
4400,122.9
4500,122.1
4600,121.3
4700,120.4
4800,119.5
4900,118.5
5000,117.5
5100,116.5
5200,115.3
5300,114.1
5400,112.9
5500,111.6
5600,110.3
5700,108.9
5800,107.5
5900,106
6000,104.2
6100,102.5
6200,100.9
6300,99.3
6400,97.7
6500,95.8
6600,93.3
6700,90
6800,86.1
6900,81.6
